iter	MultiClass
0	3.104678456
1	2.916247871
2	2.790175758
3	2.694804061
4	2.586044273
5	2.479419689
6	2.432195656
7	2.352425634
8	2.298405427
9	2.227490883
10	2.126458306
11	2.045187355
12	1.992820099
13	1.935080443
14	1.864995086
15	1.807431553
16	1.764512278
17	1.7268493
18	1.700992786
19	1.654692426
20	1.61209935
21	1.591425558
22	1.572566893
23	1.545958188
24	1.516235387
25	1.496203416
26	1.45295377
27	1.437900329
28	1.414809827
29	1.37288401
30	1.34925669
31	1.333774629
32	1.302659957
33	1.282900096
34	1.243972676
35	1.227392571
36	1.195035047
37	1.172919454
38	1.13539284
39	1.124161662
40	1.102537053
41	1.080601845
42	1.062632495
43	1.049077009
44	1.019461871
45	1.003809898
46	0.9821227535
47	0.9751746634
48	0.9640608799
49	0.9481947536
50	0.9374605396
51	0.9204100543
52	0.9112846198
53	0.9024147416
54	0.8873822794
55	0.8692665701
56	0.8582553786
57	0.8478260433
58	0.8392140283
59	0.8287649484
60	0.8172780135
61	0.805616954
62	0.8003177972
63	0.7885408615
64	0.7746202872
65	0.7666328951
66	0.7572163903
67	0.7501566156
68	0.7369620712
69	0.7246696906
70	0.7160910176
71	0.7088223694
72	0.6992261372
73	0.690920733
74	0.6793385473
75	0.6763090098
76	0.6670921686
77	0.6575252714
78	0.6506243415
79	0.6431137396
80	0.6374826198
81	0.6325137998
82	0.6274297032
83	0.6176056032
84	0.6125010424
85	0.6047899439
86	0.587926138
87	0.5842700125
88	0.5794427923
89	0.5744564235
90	0.5650841212
91	0.5567873956
92	0.5508857007
93	0.5442745448
94	0.5392568884
95	0.5355904524
96	0.5290806823
97	0.5228157072
98	0.5199585944
99	0.5151678819
100	0.5101724636
101	0.5045055032
102	0.4984148627
103	0.49393276
104	0.489113331
105	0.4865585846
106	0.481472983
107	0.4772215171
108	0.4707612873
109	0.4676663127
110	0.4613587366
111	0.4571723141
112	0.4549191944
113	0.4508016002
114	0.4474698924
115	0.4438875321
116	0.4418752061
117	0.437290005
118	0.431582445
119	0.4281423087
120	0.4268292814
121	0.4228512472
122	0.4164602601
123	0.4154420145
124	0.412155437
125	0.4093041984
126	0.4063109246
127	0.4026555939
128	0.4014938611
129	0.3978591286
130	0.395055044
131	0.3917182725
132	0.390501685
133	0.3867906498
134	0.385516385
135	0.382131134
136	0.3779262538
137	0.3747448934
138	0.3715139164
139	0.3687728038
140	0.3659076753
141	0.3608194234
142	0.3598532542
143	0.3574649528
144	0.3549240921
145	0.3516779016
146	0.3483992257
147	0.3456439952
148	0.3412571087
149	0.3384203648
150	0.3374078027
151	0.3347738101
152	0.3323233199
153	0.3303533219
154	0.3269315044
155	0.324710545
156	0.3224756857
157	0.3198381414
158	0.317987677
159	0.3145706184
160	0.3126974076
161	0.3107991341
162	0.3092597135
163	0.3064055603
164	0.3046017847
165	0.3026544315
166	0.3003609729
167	0.298300649
168	0.2975650857
169	0.2951847961
170	0.2921625512
171	0.2901337807
172	0.2884235442
173	0.285886629
174	0.2835553287
175	0.2819958714
176	0.2793115316
177	0.2785826852
178	0.2761503476
179	0.2741291992
180	0.2724780631
181	0.2713004595
182	0.2691117505
183	0.2661504647
184	0.2646854389
185	0.2622096918
186	0.2565210891
187	0.254825606
188	0.2514223324
189	0.2486463596
190	0.2480529007
191	0.2458248017
192	0.244289157
193	0.2418801092
194	0.2409202999
195	0.2394271919
196	0.2376375886
197	0.2368571257
198	0.2349888127
199	0.2336246876
200	0.2324168249
201	0.2315882476
202	0.2300268469
203	0.227142873
204	0.2252576412
205	0.2246820424
206	0.2232268479
207	0.2221937878
208	0.2199809118
209	0.2173261304
210	0.216874021
211	0.215328262
212	0.2142146072
213	0.2117216272
214	0.2109139986
215	0.2098086757
216	0.2075723848
217	0.2063046599
218	0.204726272
219	0.2038008636
220	0.2020550059
221	0.2001922938
222	0.1986825011
223	0.1976419151
224	0.1972041132
225	0.1961189173
