iter	Passed	Remaining
0	1295	1293769
1	1792	894656
2	2236	743172
3	2715	676229
4	3151	627090
5	3607	597655
6	4081	579024
7	4535	562366
8	5103	561980
9	5511	545630
10	5982	537923
11	6467	532528
12	7018	532832
13	7509	528893
14	8038	527838
15	8547	525692
16	9084	525287
17	9675	527877
18	10228	528100
19	10695	524056
20	11197	522027
21	11703	520281
22	12098	513930
23	12676	515509
24	13134	512226
25	13527	506756
26	14015	505069
27	14471	502355
28	14923	499674
29	15401	497983
30	15881	496424
31	16359	494882
32	16929	496099
33	17546	498520
34	18085	498630
35	18620	498625
36	19004	494621
37	19504	493759
38	19997	492764
39	20389	489347
40	20828	487195
41	21267	485096
42	21721	483431
43	22177	481865
44	22617	479989
45	23110	479283
46	23592	478369
47	24076	477521
48	24548	476449
49	24995	474907
50	25373	472154
51	25808	470511
52	26284	469652
53	26792	469365
54	27256	468324
55	27667	466390
56	28153	465766
57	28643	465203
58	29052	463369
59	29471	461712
60	30000	461815
61	30453	460725
62	30925	459960
63	31504	460746
64	31943	459489
65	32328	457492
66	32816	456975
67	33314	456604
68	33801	456073
69	34337	456203
70	34790	455219
71	35234	454132
72	35667	452926
73	36150	452373
74	36620	451652
75	37033	450253
76	37453	448961
77	37869	447642
78	38324	446793
79	38768	445838
80	39231	445105
81	39708	444535
82	40253	444730
83	40752	444392
84	41258	444132
85	41706	443249
86	42381	444759
87	42876	444354
88	43329	443519
89	43750	442370
90	44157	441091
91	44637	440555
92	45132	440167
93	45551	439041
94	45992	438138
95	46519	438057
96	46990	437446
97	47433	436577
98	47857	435552
99	48310	434794
100	48767	434080
101	49197	433133
102	49620	432132
103	50026	430993
104	50450	430027
105	50912	429390
106	51330	428394
107	51835	428121
108	52268	427259
109	52690	426315
110	53103	425306
111	53625	425170
112	54026	424085
113	54414	422907
114	54947	422856
115	55362	421898
116	55818	421260
117	56249	420438
118	56701	419783
119	57195	419433
120	57634	418682
121	58099	418126
122	58585	417719
123	59036	417062
124	59445	416117
125	59925	415675
126	60376	415029
127	60845	414509
128	61335	414133
129	61743	413208
130	62124	412107
131	62569	411443
132	63144	411625
133	63653	411370
134	64094	410677
135	64557	410132
136	65017	409563
137	65490	409079
138	65912	408276
139	66345	407551
140	66794	406927
141	67317	406746
142	67709	405783
143	68214	405499
144	68744	405354
145	69158	404528
146	69610	403932
147	70091	403500
148	70592	403182
149	71010	402393
150	71448	401718
151	71893	401088
152	72319	400356
153	72765	399739
154	73229	399217
155	73660	398521
156	74119	397979
157	74610	397609
158	75108	397270
159	75574	396767
160	76051	396319
161	76466	395548
162	76910	394934
163	77359	394344
164	77799	393710
165	78267	393225
166	78752	392817
167	79233	392392
168	79724	392019
169	80145	391298
170	80611	390801
171	81064	390242
172	81571	389937
173	81973	389137
174	82396	388441
175	82870	387986
176	83316	387399
177	83836	387153
178	84268	386503
179	84698	385847
180	85157	385327
181	85584	384658
182	86087	384336
183	86509	383649
184	86924	382938
185	87342	382242
186	87804	381736
187	88283	381311
188	88739	380779
189	89195	380254
190	89712	379988
191	90183	379520
192	90646	379022
193	91119	378566
194	91531	377858
195	91956	377207
196	92385	376574
197	92853	376103
198	93250	375344
199	93704	374818
200	94124	374158
201	94590	373679
202	95078	373290
203	95563	372885
204	96058	372520
205	96548	372134
206	97178	372282
207	97704	372029
208	98283	371972
209	98853	371877
210	99536	372199
211	100086	372019
212	100634	371827
213	101124	371418
214	101690	371287
215	102521	372115
216	103005	371675
217	103499	371270
218	103970	370782
219	104523	370583
220	104966	369993
221	105463	369598
222	105987	369293
223	106451	368777
224	107007	368579
225	107756	369043
226	108282	368733
227	108692	368028
228	109107	367342
229	109547	366746
230	110031	366293
231	110512	365833
232	110961	365268
233	111483	364941
234	111917	364328
235	112337	363668
236	112761	363026
237	113211	362465
238	113689	362000
239	114182	361578
240	114604	360933
241	115093	360498
242	115591	360093
243	116094	359702
244	116657	359494
245	117120	358979
246	117612	358552
247	118040	357930
248	118473	357323
249	118955	356867
250	119482	356543
251	119968	356096
252	120503	355794
253	121066	355574
254	121502	354978
255	121938	354384
256	122423	353932
257	122932	353551
258	123401	353050
259	123875	352569
260	124308	351968
261	124777	351473
262	125269	351040
263	125748	350570
264	126236	350126
265	126668	349529
266	127116	348975
267	127623	348583
268	128116	348153
269	128673	347895
270	129304	347834
271	130066	348118
272	130861	348484
273	131770	349144
274	132581	349533
275	133187	349375
276	133785	349194
277	134330	348871
278	134861	348512
279	135349	348040
280	135892	347711
281	136327	347102
282	136870	346771
283	137400	346405
284	138123	346519
285	138924	346826
286	139336	346156
287	139857	345757
288	140398	345408
289	140908	344982
290	141478	344702
291	141939	344153
292	142386	343575
293	142833	342993
294	143352	342588
295	143896	342241
296	144301	341561
297	144794	341092
298	145308	340673
299	145875	340375
300	146381	339934
301	146858	339428
302	147289	338813
303	147872	338550
304	148417	338197
305	150110	340446
306	150632	340026
307	151197	339703
308	152016	339946
309	152557	339563
310	152831	338589
311	153165	337749
312	153454	336814
313	153896	336220
314	154242	335417
315	154579	334596
316	154926	333799
317	155263	332986
318	155671	332327
319	156049	331605
320	156381	330788
321	156736	330022
322	157091	329260
323	157427	328460
324	157747	327629
325	158041	326747
326	158336	325872
327	158647	325034
328	158902	324084
329	159177	323179
330	159451	322274
331	159724	321373
332	160101	320684
333	160393	319826
334	160686	318974
335	160959	318086
336	161291	317318
337	161602	316512
338	161901	315683
339	162246	314949
340	162652	314335
341	162974	313558
342	163291	312777
343	163614	312008
344	163901	311175
345	164365	310678
346	164681	309905
347	165046	309225
348	165653	308997
349	166545	309298
350	167173	309105
351	167482	308320
352	167835	307619
353	168273	307075
354	168575	306285
355	169071	305847
356	169448	305196
357	169815	304529
358	170193	303882
359	170625	303334
360	170944	302586
361	171347	301988
362	171652	301219
363	172093	300691
364	172379	299893
365	172661	299091
366	172978	298353
367	173265	297564
368	173562	296797
369	173886	296077
370	174245	295419
371	174580	294721
372	174969	294116
373	175340	293483
374	175625	292709
375	175927	291964
376	176238	291237
377	176686	290738
378	177030	290068
379	177441	289509
380	178113	289376
381	178591	288925
382	179132	288576
383	179708	288281
384	180188	287833
385	180671	287389
386	181864	288069
387	182619	288048
388	183221	287785
389	184043	287862
390	184756	287767
391	185200	287250
392	185680	286788
393	186180	286359
394	186537	285710
395	186972	285180
396	187562	284887
397	188289	284799
398	189212	285003
399	189776	284664
400	190242	284178
401	190774	283789
402	191249	283314
403	191712	282823
404	192013	282093
405	192650	281858
406	193151	281422
407	193766	281150
408	194504	281056
409	195287	281023
410	195785	280578
411	196305	280164
412	196821	279744
413	197482	279528
414	197932	279012
415	198446	278588
416	199036	278269
417	199531	277817
418	200105	277473
419	200599	277019
420	201153	276645
421	201689	276247
422	202165	275766
423	202698	275363
424	203160	274864
425	203492	274189
426	203924	273650
427	204421	273198
428	205098	272986
429	205613	272558
430	206422	272516
431	206974	272132
432	207736	272024
433	208367	271741
434	208971	271422
435	209606	271142
436	209923	270450
437	210339	269887
438	210910	269523
439	211423	269083
440	211865	268555
441	212380	268118
442	212898	267684
443	213452	267296
444	213876	266745
445	214249	266130
446	214603	265493
447	214956	264856
448	215328	264244
449	215669	263595
450	216002	262938
451	216337	262285
452	216638	261591
453	216963	260930
454	217350	260342
455	217822	259858
456	218128	259176
457	218470	258539
458	218766	257848
459	219197	257319
460	219728	256906
461	220326	256570
462	221140	256484
463	221953	256394
464	222515	256012
465	223079	255632
466	223572	255168
467	223970	254599
468	224401	254066
469	224732	253422
470	225251	252988
471	225592	252357
472	225946	251741
473	226374	251209
474	226704	250568
475	227010	249902
476	227338	249262
477	227632	248585
478	227980	247970
479	228333	247361
480	228685	246752
481	229246	246368
482	229870	246052
483	230429	245664
484	230920	245203
485	231350	244678
486	231657	244025
487	232159	243577
488	232575	243039
489	232960	242469
490	233547	242109
491	233960	241569
492	234455	241113
493	235017	240725
494	235546	240305
495	236039	239846
496	236500	239356
497	236807	238709
498	237154	238105
499	237444	237444
500	237862	236913
501	238431	236532
502	238914	236064
503	239274	235476
504	239672	234926
505	240100	234406
506	240406	233768
507	240861	233274
508	241258	232726
509	241714	232235
510	242058	231637
511	242543	231174
512	242915	230604
513	243243	229993
514	243616	229425
515	243943	228815
516	244211	228151
517	244511	227518
518	244833	226907
519	245316	226446
520	245637	225835
521	246259	225502
522	246580	224892
523	247171	224529
524	247599	224018
525	247972	223457
526	248413	222959
527	248985	222578
528	249360	222020
529	249712	221442
530	250104	220901
531	250562	220419
532	251057	219969
533	251402	219388
534	251735	218798
535	252185	218310
536	252598	217789
537	253116	217360
538	253680	216969
539	253984	216357
540	254320	215772
541	254883	215381
542	255220	214798
543	255657	214300
544	256209	213899
545	256630	213388
546	257076	212898
547	257547	212429
548	257957	211910
549	258379	211401
550	258823	210910
551	259255	210409
552	259749	209960
553	260356	209601
554	260715	209042
555	261073	208482
556	261473	207958
557	261854	207418
558	262214	206863
559	262603	206330
560	262975	205786
561	263331	205230
562	263683	204670
563	264091	204155
564	264427	203585
565	264838	203074
566	265249	202562
567	265651	202044
568	266019	201501
569	266432	200992
570	266791	200444
571	267157	199901
572	267548	199377
573	267993	198894
574	268336	198335
575	268709	197800
576	269083	197265
577	269462	196735
578	269910	196256
579	270340	195763
580	270765	195267
581	271264	194825
582	271614	194276
583	271981	193740
584	272353	193208
585	272692	192653
586	273125	192164
587	273461	191608
588	273836	191081
589	274214	190556
590	274579	190021
591	274976	189510
592	275319	188963
593	275672	188422
594	276005	187869
595	276384	187347
596	276861	186892
597	277182	186333
598	277503	185774
599	278173	185449
600	278556	184931
601	279159	184560
602	279593	184077
603	279948	183542
604	280303	183007
605	280700	182501
606	281033	181954
607	281435	181451
608	281800	180926
609	282176	180408
610	282514	179866
611	282912	179362
612	283280	178840
613	283660	178327
614	283968	177769
615	284482	177339
616	284856	176823
617	285404	176414
618	285879	175961
619	286349	175504
620	286995	175155
621	287455	174691
622	287846	174186
623	288269	173700
624	288633	173180
625	288984	172652
626	289406	172166
627	289817	171675
628	290351	171256
629	290612	170677
630	290872	170098
631	291184	169550
632	291440	168970
633	291681	168384
634	291954	167816
635	292211	167240
636	292461	166661
637	292678	166065
638	292908	165477
639	293181	164914
640	293412	164329
641	293671	163760
642	293898	163175
643	294181	162621
644	294421	162045
645	294896	161599
646	295360	161147
647	295703	160629
648	296126	160154
649	296524	159667
650	297031	159237
651	297608	158846
652	298053	158383
653	298547	157947
654	298807	157387
655	299057	156823
656	299323	156268
657	299556	155696
658	299867	155166
659	300141	154618
660	300470	154099
661	300744	153552
662	301164	153080
663	301649	152641
664	302020	152145
665	302459	151683
666	302759	151152
667	303114	150649
668	303477	150150
669	303947	149705
670	304346	149224
671	304613	148680
672	304850	148121
673	305114	147577
674	305410	147049
675	305739	146538
676	306061	146023
677	306392	145513
678	306685	144986
679	306972	144457
680	307302	143949
681	307638	143444
682	307924	142916
683	308218	142393
684	308523	141875
685	308850	141369
686	309187	140867
687	309522	140364
688	309860	139864
689	310191	139361
690	310524	138859
691	310880	138368
692	311211	137866
693	311518	137355
694	311834	136848
695	312132	136333
696	312466	135835
697	312806	135340
698	313125	134836
699	313408	134317
700	313706	133806
701	314060	133318
702	314430	132839
703	314801	132359
704	315113	131855
705	315440	131358
706	315775	130865
707	316117	130376
708	316413	129867
709	316713	129361
710	317071	128879
711	317383	128379
712	317698	127881
713	318027	127389
714	318337	126889
715	318641	126388
716	318946	125888
717	319251	125388
718	319567	124893
719	319916	124411
720	320264	123930
721	320597	123443
722	321010	122987
723	321519	122568
724	321899	122099
725	322319	121646
726	322633	121154
727	323185	120750
728	323519	120265
729	323915	119804
730	324297	119338
731	324630	118853
732	324949	118365
733	325292	117885
734	325587	117388
735	325916	116904
736	326261	116427
737	326757	116003
738	327227	115570
739	327568	115091
740	328009	114648
741	328628	114267
742	328983	113793
743	329322	113315
744	329646	112832
745	330029	112369
746	330360	111889
747	330816	111451
748	331141	110969
749	331572	110524
750	331921	110051
751	332274	109579
752	332601	109100
753	332908	108614
754	333364	108177
755	333764	107722
756	334096	107246
757	334449	106776
758	334849	106322
759	335204	105854
760	335617	105404
761	336015	104949
762	336915	104651
763	337258	104179
764	337580	103701
765	337909	103225
766	338210	102741
767	338504	102256
768	338795	101770
769	339086	101285
770	339367	100797
771	339663	100315
772	339984	99840
773	340300	99364
774	340636	98894
775	341019	98438
776	341332	97962
777	341675	97496
778	341984	97020
779	342278	96540
780	342569	96059
781	342886	95587
782	343216	95118
783	343527	94645
784	343840	94172
785	344175	93706
786	344477	93232
787	344795	92762
788	345115	92293
789	345482	91837
790	345834	91377
791	346266	90938
792	346595	90473
793	346889	89998
794	347233	89538
795	347549	89070
796	347913	88615
797	348238	88150
798	348604	87696
799	348917	87229
800	349278	86774
801	349637	86319
802	350005	85866
803	350358	85410
804	350714	84955
805	351071	84501
806	351434	84048
807	351780	83591
808	352115	83132
809	352429	82668
810	352773	82212
811	353072	81745
812	353385	81282
813	353717	80824
814	354034	80363
815	354376	79908
816	354699	79449
817	355039	78994
818	355382	78539
819	355774	78096
820	356152	77650
821	356471	77192
822	356774	76730
823	357106	76275
824	357498	75832
825	357822	75376
826	358134	74918
827	358446	74459
828	358777	74006
829	359107	73552
830	359455	73102
831	359815	72655
832	360150	72203
833	360458	71745
834	360759	71287
835	361055	70829
836	361387	70377
837	361692	69921
838	362006	69467
839	362302	69010
840	362602	68553
841	362922	68101
842	363232	67648
843	363561	67198
844	363864	66744
845	364226	66301
846	364533	65848
847	364833	65394
848	365160	64946
849	365502	64500
850	365828	64052
851	366132	63600
852	366437	63149
853	366734	62697
854	367046	62247
855	367349	61797
856	367665	61349
857	367978	60900
858	368289	60452
859	368604	60005
860	368893	59554
861	369207	59107
862	369545	58664
863	369858	58218
864	370211	57778
865	370528	57333
866	370830	56886
867	371164	56444
868	371472	55998
869	371794	55555
870	372101	55110
871	372406	54665
872	372718	54221
873	373020	53776
874	373331	53333
875	373638	52889
876	373957	52447
877	374283	52007
878	374573	51562
879	374901	51122
880	375223	50682
881	375563	50245
882	375868	49803
883	376176	49362
884	376492	48922
885	376806	48483
886	377101	48041
887	377423	47602
888	377737	47164
889	378055	46725
890	378324	46282
891	378652	45845
892	378961	45407
893	379271	44969
894	379594	44533
895	379940	44100
896	380235	43661
897	380523	43222
898	380811	42783
899	381131	42347
900	381418	41909
901	381776	41479
902	382105	41045
903	382406	40609
904	382698	40172
905	383010	39738
906	383387	39310
907	383732	38880
908	384000	38442
909	384298	38007
910	384602	37573
911	384907	37140
912	385191	36705
913	385504	36272
914	385892	35847
915	386197	35415
916	386524	34985
917	386817	34552
918	387120	34120
919	387425	33689
920	387738	33258
921	388097	32832
922	388391	32401
923	388709	31971
924	389025	31542
925	389335	31113
926	389651	30684
927	389966	30256
928	390291	29828
929	390582	29398
930	390892	28970
931	391202	28542
932	391528	28116
933	391870	27691
934	392174	27263
935	392505	26837
936	392860	26414
937	393186	25988
938	393514	25563
939	393803	25136
940	394099	24709
941	394427	24285
942	394767	23861
943	395064	23436
944	395379	23011
945	395780	22592
946	396114	22169
947	396425	21744
948	396736	21320
949	397037	20896
950	397316	20471
951	397642	20049
952	397969	19627
953	398280	19204
954	398584	18781
955	398874	18358
956	399187	17936
957	399474	17513
958	399782	17091
959	400084	16670
960	400420	16250
961	400731	15829
962	401022	15407
963	401332	14987
964	401660	14567
965	402155	14154
966	402600	13739
967	402955	13320
968	403297	12902
969	403743	12486
970	404056	12067
971	404396	11649
972	404716	11230
973	405081	10813
974	405391	10394
975	405712	9976
976	406036	9558
977	406365	9141
978	406653	8722
979	406981	8305
980	407291	7888
981	407610	7471
982	407930	7054
983	408258	6638
984	408587	6222
985	408917	5806
986	409215	5389
987	409534	4974
988	409838	4558
989	410125	4142
990	410448	3727
991	410895	3313
992	411320	2899
993	411747	2485
994	412205	2071
995	412746	1657
996	413215	1243
997	413633	828
998	414065	414
999	414580	0
